,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,11451,0.0,0.0,0.0,0.0,0.0,0.0
2011,11501,6078.0,45590.0,47.0,6544.0,1150.0,0.0
2011,11507,902.0,15602.0,100.0,8722.0,4.0,0.0
2011,11509,92.0,6344.0,0.0,148.0,249.0,0.0
2011,11510,10526.0,56428.0,672.0,5976.0,27243.0,0.0
2011,11514,1578.0,12672.0,133.0,2614.0,144.0,0.0
2011,11516,1178.0,19454.0,0.0,1064.0,648.0,0.0
2011,11518,1572.0,29709.0,0.0,500.0,807.0,0.0
2011,11520,36602.0,49069.0,1499.0,5590.0,42548.0,0.0
2011,11530,3112.0,76038.0,175.0,4594.0,1720.0,0.0
2011,11542,15220.0,55836.0,362.0,4598.0,5585.0,0.0
2011,11545,1174.0,31997.0,94.0,3156.0,616.0,0.0
2011,11547,120.0,1604.0,0.0,0.0,0.0,0.0
2011,11548,444.0,4300.0,23.0,1494.0,1057.0,0.0
2011,11549,700.0,5714.0,308.0,1225.0,842.0,0.0
2011,11550,46248.0,35268.0,789.0,5553.0,80318.0,0.0
2011,11552,6478.0,42733.0,779.0,8658.0,13986.0,0.0
2011,11553,14802.0,21239.0,703.0,934.0,43369.0,0.0
2011,11554,8514.0,85965.0,140.0,16094.0,5482.0,0.0
2011,11556,0.0,0.0,0.0,0.0,0.0,0.0
2011,11557,1272.0,19989.0,0.0,4018.0,133.0,0.0
2011,11558,3116.0,21028.0,767.0,886.0,647.0,0.0
2011,11559,1332.0,21999.0,0.0,270.0,410.0,0.0
2011,11560,954.0,18024.0,56.0,534.0,230.0,0.0
2011,11561,9796.0,91898.0,418.0,7441.0,5100.0,0.0
2011,11563,6816.0,58302.0,47.0,4030.0,1569.0,0.0
2011,11565,1368.0,23677.0,0.0,2700.0,171.0,0.0
2011,11566,4378.0,93782.0,90.0,4337.0,1272.0,0.0
2011,11568,368.0,7991.0,110.0,2695.0,876.0,0.0
2011,11569,0.0,4377.0,0.0,0.0,0.0,0.0
2011,11570,4684.0,66905.0,890.0,1875.0,8617.0,0.0
2011,11572,4622.0,81652.0,174.0,1938.0,441.0,0.0
2011,11575,8946.0,5539.0,459.0,613.0,32425.0,0.0
2011,11576,642.0,29918.0,0.0,7446.0,555.0,0.0
2011,11577,1790.0,26412.0,29.0,8873.0,1721.0,0.0
2011,11579,1088.0,14316.0,0.0,384.0,513.0,0.0
2011,11580,18014.0,48306.0,331.0,21673.0,36141.0,0.0
2011,11581,5786.0,41340.0,22.0,9660.0,6218.0,0.0
2011,11590,23100.0,61010.0,356.0,16814.0,28892.0,0.0
2011,11596,1054.0,26456.0,422.0,4838.0,156.0,0.0
2011,11598,1572.0,35049.0,6.0,1250.0,763.0,0.0
2011,11691,32214.0,60063.0,461.0,4081.0,89982.0,0.0
2011,11692,7416.0,8384.0,404.0,1675.0,35955.0,0.0
2011,11693,3802.0,18327.0,100.0,1221.0,11991.0,0.0
2011,11694,5588.0,51690.0,49.0,1249.0,5747.0,0.0
2011,11697,116.0,13059.0,28.0,0.0,12.0,0.0
2011,11701,10138.0,37207.0,627.0,1165.0,35255.0,0.0
2011,11702,2604.0,41248.0,287.0,1786.0,1371.0,0.0
2011,11703,3224.0,39973.0,34.0,2422.0,3496.0,0.0
2011,11704,11818.0,92455.0,708.0,4428.0,16532.0,0.0
2011,11705,986.0,22391.0,56.0,200.0,853.0,0.0
2011,11706,51328.0,108341.0,751.0,12532.0,33375.0,0.0
2011,11709,550.0,19080.0,21.0,562.0,126.0,0.0
2011,11710,4976.0,92556.0,52.0,8128.0,1168.0,0.0
2011,11713,3236.0,19367.0,52.0,1573.0,7009.0,0.0
2011,11714,5322.0,61509.0,89.0,7924.0,210.0,0.0
2011,11715,314.0,13269.0,45.0,404.0,0.0,0.0
