year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2020,BRONX,10458,26,12,12,1867.7083333333333,378771.9166666667
2020,BRONX,10461,26,12,12,1767.5166666666669,578386.0833333334
2020,BRONX,10462,25,12,12,1766.3083333333334,202890.3333333333
2020,BRONX,10463,51,12,12,2378.5,434285.0833333333
2020,BRONX,10465,13,12,12,2125.133333333333,535341.5
2020,BRONX,10467,59,12,12,1798.5333333333333,411901.9166666667
2020,BROOKLYN,11201,389,12,12,3419.183333333333,1361641.5833333333
2020,BROOKLYN,11205,692,12,12,2780.883333333333,937073.6666666666
2020,BROOKLYN,11206,850,12,12,2905.7166666666667,906703.5
2020,BROOKLYN,11207,124,12,12,2517.0916666666667,494206.1666666667
2020,BROOKLYN,11208,76,3,12,2027.5333333333333,586907.8333333334
2020,BROOKLYN,11209,69,12,12,1939.0916666666667,876552.0
2020,BROOKLYN,11210,128,12,12,2225.55,787817.5
2020,BROOKLYN,11211,2719,12,12,3324.8083333333334,1036530.25
2020,BROOKLYN,11213,451,12,12,2434.891666666667,972262.0
2020,BROOKLYN,11214,30,12,12,1885.483333333333,658203.8333333334
2020,BROOKLYN,11215,541,12,12,2891.175,1350269.1666666667
2020,BROOKLYN,11216,999,12,12,2537.266666666667,1112305.4166666667
2020,BROOKLYN,11217,623,12,12,3142.425,1461386.0833333333
2020,BROOKLYN,11218,198,12,12,2323.0333333333333,932258.9166666666
2020,BROOKLYN,11220,172,12,12,2100.6666666666665,746375.5
2020,BROOKLYN,11221,979,12,12,2598.391666666667,1040120.6666666666
2020,BROOKLYN,11222,948,12,12,3136.366666666667,1044151.75
2020,BROOKLYN,11223,87,12,12,1795.1999999999998,917003.6666666666
2020,BROOKLYN,11225,489,12,12,2380.9166666666665,1241847.75
2020,BROOKLYN,11226,521,12,12,2262.141666666667,793846.3333333334
2020,BROOKLYN,11228,23,12,12,1748.7083333333333,960748.1666666666
2020,BROOKLYN,11229,33,12,12,2023.5333333333333,716434.75
2020,BROOKLYN,11230,66,12,12,2134.008333333333,1024859.6666666666
2020,BROOKLYN,11231,199,12,12,3086.191666666667,1434137.1666666667
2020,BROOKLYN,11232,68,9,12,2375.7444444444445,716372.9166666666
2020,BROOKLYN,11233,809,12,12,2349.358333333333,776035.25
2020,BROOKLYN,11235,97,12,12,2092.2916666666665,590995.5
2020,BROOKLYN,11237,1295,12,12,2650.175,814787.5
2020,BROOKLYN,11238,816,12,12,3112.8083333333334,1186036.5833333333
2020,MANHATTAN,10001,391,12,12,3858.575,2026572.9166666667
2020,MANHATTAN,10002,539,10,12,3080.6,957236.0833333334
2020,MANHATTAN,10003,884,12,12,3288.608333333333,1308532.25
2020,MANHATTAN,10005,473,11,12,3618.445454545455,1051902.6666666667
2020,MANHATTAN,10009,1043,11,12,3172.7090909090907,1072772.8333333333
2020,MANHATTAN,10010,613,12,12,3581.866666666667,1592704.5833333333
2020,MANHATTAN,10011,739,12,12,3651.5416666666665,1778982.5833333333
2020,MANHATTAN,10012,646,12,12,3287.991666666667,2532089.083333333
2020,MANHATTAN,10013,904,12,12,4719.058333333333,3236128.0
2020,MANHATTAN,10014,175,12,12,3633.133333333333,2124108.6666666665
2020,MANHATTAN,10016,312,11,12,3456.3,1006588.1666666666
2020,MANHATTAN,10017,474,12,12,3028.608333333333,992564.5833333334
2020,MANHATTAN,10018,1151,12,12,3557.9333333333334,1373589.5
2020,MANHATTAN,10019,490,12,12,3345.2250000000004,1240222.0833333333
2020,MANHATTAN,10021,327,12,12,2695.725,1394769.5
2020,MANHATTAN,10022,270,12,12,3190.8500000000004,1269762.6666666667
2020,MANHATTAN,10023,645,12,12,3373.625,1454721.9166666667
2020,MANHATTAN,10024,799,12,12,3047.9333333333334,1633054.6666666667
2020,MANHATTAN,10026,540,12,12,2688.4666666666667,951243.25
2020,MANHATTAN,10027,410,12,12,2580.0583333333334,860804.75
2020,MANHATTAN,10028,590,12,12,2781.9750000000004,1477434.0
2020,MANHATTAN,10029,354,12,12,2452.9750000000004,546641.0
2020,MANHATTAN,10030,412,12,12,2235.6833333333334,855222.75
2020,MANHATTAN,10031,458,12,12,2427.5333333333333,655639.25
2020,MANHATTAN,10032,286,12,12,2234.65,520918.6666666667
2020,MANHATTAN,10033,218,12,12,2321.25,582700.4166666666
2020,MANHATTAN,10034,110,12,12,2003.4,436680.4166666667
2020,MANHATTAN,10035,152,12,12,2404.475,777439.9166666666
2020,MANHATTAN,10037,317,12,12,2139.575,486854.6666666667
2020,MANHATTAN,10039,269,8,12,2116.7625000000003,614849.5
2020,MANHATTAN,10040,146,12,12,1951.233333333333,477450.1666666667
2020,MANHATTAN,10044,77,9,12,3086.6666666666665,943722.9166666666
2020,MANHATTAN,10065,298,12,12,3073.875,1477968.25
2020,MANHATTAN,10069,42,12,12,4628.950000000001,1933001.5
2020,MANHATTAN,10075,336,12,12,2414.9750000000004,1135156.9166666667
2020,MANHATTAN,10280,66,12,12,3425.758333333333,883809.1666666666
2020,MANHATTAN,10282,23,12,12,5772.041666666667,2185345.333333333
2020,QUEENS,11101,76,12,12,3059.083333333333,799248.6666666666
2020,QUEENS,11102,236,12,12,2441.875,666734.5
2020,QUEENS,11103,369,12,12,2087.5,926216.0833333334
2020,QUEENS,11104,241,8,12,2009.7375,624902.25
2020,QUEENS,11105,196,12,12,2341.6916666666666,1038004.1666666666
2020,QUEENS,11106,291,12,12,2248.6666666666665,642368.75
2020,QUEENS,11354,52,12,12,2224.65,686298.4166666666
2020,QUEENS,11355,151,12,12,1859.8666666666663,678723.75
2020,QUEENS,11361,16,8,12,2191.6875,858136.1666666666
2020,QUEENS,11374,99,12,12,2222.75,597965.6666666666
2020,QUEENS,11375,51,12,12,2175.9166666666665,843562.0833333334
2020,QUEENS,11377,159,4,12,1909.4,793972.6666666666
2020,QUEENS,11385,167,12,12,2546.983333333333,706130.1666666666
2020,QUEENS,11415,54,7,12,1826.8142857142857,522792.0833333333
2020,QUEENS,11435,36,12,12,1747.125,561451.8333333334
2020,STATEN_ISLAND,10304,20,5,12,2397.8,549567.5
2020,STATEN_ISLAND,10314,3,12,12,1799.5333333333333,541988.5
2021,BRONX,10457,56,12,12,1811.7916666666667,522452.5
2021,BRONX,10458,51,12,12,1945.2666666666669,457956.75
2021,BRONX,10461,50,12,12,1824.55,610815.9166666666
2021,BRONX,10462,51,12,12,1811.8583333333331,199231.5833333333
2021,BRONX,10463,59,12,12,2379.1833333333334,430870.8333333333
2021,BRONX,10465,36,12,12,2136.7250000000004,574414.9166666666
2021,BRONX,10467,77,12,12,1850.1166666666663,434393.3333333333
2021,BROOKLYN,11201,397,12,12,3508.4333333333334,1277278.6666666667
2021,BROOKLYN,11203,229,10,12,2042.27,638399.0833333334
2021,BROOKLYN,11205,544,12,12,2778.125,934208.5
2021,BROOKLYN,11206,796,12,12,2846.891666666667,907284.3333333334
2021,BROOKLYN,11207,216,12,12,2474.483333333333,530486.0833333334
2021,BROOKLYN,11208,155,12,12,2143.7,630066.5833333334
2021,BROOKLYN,11209,75,12,12,1945.8666666666663,928390.0
2021,BROOKLYN,11210,170,12,12,2132.633333333333,814119.5
2021,BROOKLYN,11211,2101,12,12,3375.1666666666665,1072471.75
2021,BROOKLYN,11213,485,12,12,2417.0416666666665,989242.9166666666
2021,BROOKLYN,11214,54,12,12,1892.1666666666667,684362.9166666666
2021,BROOKLYN,11215,491,12,12,2883.6583333333333,1362516.5
2021,BROOKLYN,11216,984,12,12,2495.833333333333,1136209.0
2021,BROOKLYN,11217,459,12,12,3163.675,1432988.25
2021,BROOKLYN,11218,184,12,12,2320.3166666666666,953143.4166666666
2021,BROOKLYN,11219,57,2,12,1874.1,850656.5833333334
2021,BROOKLYN,11220,173,12,12,2068.05,741358.25
2021,BROOKLYN,11221,934,12,12,2554.9833333333336,1071570.75
2021,BROOKLYN,11222,698,12,12,3280.425,1068180.4166666667
2021,BROOKLYN,11223,97,12,12,1772.5416666666667,967155.3333333334
2021,BROOKLYN,11225,498,12,12,2352.4416666666666,1278577.6666666667
2021,BROOKLYN,11226,469,12,12,2234.8416666666667,804033.1666666666
2021,BROOKLYN,11228,34,12,12,1773.4,998804.75
2021,BROOKLYN,11229,61,12,12,2036.45,741905.75
2021,BROOKLYN,11230,71,12,12,2068.325,1023494.25
2021,BROOKLYN,11231,174,12,12,3079.008333333333,1411345.5
2021,BROOKLYN,11232,63,12,12,2377.5416666666665,690353.3333333334
2021,BROOKLYN,11233,1013,12,12,2269.7916666666665,846402.1666666666
2021,BROOKLYN,11235,128,12,12,2133.766666666667,621407.25
2021,BROOKLYN,11237,1036,12,12,2608.833333333333,822998.1666666666
2021,BROOKLYN,11238,686,12,12,3050.775,1132804.25
2021,MANHATTAN,10001,364,12,12,4019.933333333333,2007206.25
2021,MANHATTAN,10002,397,12,12,3049.008333333333,863112.9166666666
2021,MANHATTAN,10003,702,12,12,3310.141666666667,1418296.8333333333
2021,MANHATTAN,10005,457,12,12,3604.608333333333,1026900.6666666666
2021,MANHATTAN,10009,711,12,12,3118.05,1074037.4166666667
2021,MANHATTAN,10010,569,12,12,3585.633333333333,1508217.1666666667
2021,MANHATTAN,10011,570,12,12,3713.0,1686585.75
2021,MANHATTAN,10012,436,12,12,3307.925,2544311.5
2021,MANHATTAN,10013,1047,12,12,4764.283333333334,3157718.6666666665
2021,MANHATTAN,10014,161,12,12,3703.391666666667,1977412.5
2021,MANHATTAN,10016,467,12,12,3446.525,977836.4166666666
2021,MANHATTAN,10017,374,12,12,3006.1000000000004,870552.75
2021,MANHATTAN,10018,1147,12,12,3630.608333333333,1433693.8333333333
2021,MANHATTAN,10019,385,12,12,3347.1916666666666,1232561.75
2021,MANHATTAN,10021,341,12,12,2602.858333333333,1406696.8333333333
2021,MANHATTAN,10022,257,12,12,3095.7166666666667,1144579.3333333333
2021,MANHATTAN,10023,515,12,12,3376.4,1448189.6666666667
2021,MANHATTAN,10024,773,12,12,2990.725,1627470.75
2021,MANHATTAN,10026,466,12,12,2597.233333333333,950124.75
2021,MANHATTAN,10027,379,12,12,2475.0416666666665,861995.5
2021,MANHATTAN,10028,516,12,12,2666.616666666667,1409508.8333333333
2021,MANHATTAN,10029,312,12,12,2293.5333333333333,700709.0833333334
2021,MANHATTAN,10030,413,12,12,2183.5,821686.8333333334
2021,MANHATTAN,10031,376,12,12,2350.375,676006.25
2021,MANHATTAN,10032,242,12,12,2179.266666666667,621062.0833333334
2021,MANHATTAN,10033,180,12,12,2248.7250000000004,608596.5
2021,MANHATTAN,10034,139,12,12,1955.5833333333333,448655.25
2021,MANHATTAN,10035,123,12,12,2337.5,732842.25
2021,MANHATTAN,10037,291,12,12,2060.6666666666665,517288.25
2021,MANHATTAN,10039,229,12,12,2046.7916666666667,668714.6666666666
2021,MANHATTAN,10040,120,12,12,1913.65,501409.8333333333
2021,MANHATTAN,10044,77,12,12,3113.883333333333,940439.6666666666
2021,MANHATTAN,10065,206,12,12,2983.575,1491214.9166666667
2021,MANHATTAN,10069,51,12,12,4793.375,1941931.25
2021,MANHATTAN,10075,267,12,12,2304.8166666666666,1163591.75
2021,MANHATTAN,10280,68,12,12,3535.6916666666666,843551.25
2021,MANHATTAN,10282,19,11,12,5967.181818181818,2190434.25
2021,QUEENS,11101,140,12,12,3133.4666666666667,784913.9166666666
2021,QUEENS,11102,290,12,12,2382.5916666666667,676636.5
2021,QUEENS,11103,326,12,12,2070.025,942974.8333333334
2021,QUEENS,11104,238,12,12,1970.233333333333,631047.1666666666
2021,QUEENS,11105,227,12,12,2261.5416666666665,1043340.9166666666
2021,QUEENS,11106,335,12,12,2183.741666666667,647598.5833333334
2021,QUEENS,11354,55,12,12,2182.383333333333,679932.4166666666
2021,QUEENS,11355,284,12,12,1815.2333333333331,675732.1666666666
2021,QUEENS,11358,90,11,12,2047.918181818182,936072.9166666666
2021,QUEENS,11360,6,2,12,2080.0,702569.6666666666
2021,QUEENS,11361,55,12,12,2155.491666666667,890003.5
2021,QUEENS,11372,241,12,12,1887.6166666666663,483587.8333333333
2021,QUEENS,11373,208,9,12,1871.7777777777776,578745.3333333334
2021,QUEENS,11374,126,12,12,2199.2,621448.8333333334
2021,QUEENS,11375,40,12,12,2154.366666666667,830616.4166666666
2021,QUEENS,11377,413,12,12,1902.6166666666663,794613.1666666666
2021,QUEENS,11379,35,1,12,2137.5,782484.75
2021,QUEENS,11385,183,12,12,2507.641666666667,732049.3333333334
2021,QUEENS,11415,82,12,12,1910.6166666666663,520030.9166666667
2021,QUEENS,11435,69,11,12,1778.2454545454543,613944.6666666666
2021,STATEN_ISLAND,10304,31,12,12,2116.6833333333334,582417.1666666666
2021,STATEN_ISLAND,10305,45,1,12,1893.7,587424.5833333334
2021,STATEN_ISLAND,10306,34,2,12,1660.25,606155.25
2021,STATEN_ISLAND,10312,7,3,12,1898.6333333333332,603904.75
2021,STATEN_ISLAND,10314,7,12,12,1921.925,573984.6666666666
