zipcode,year,borough,home_value,count
11230,2021,BROOKLYN,1023494.25,
11230,2022,BROOKLYN,1083692.4,
11231,2015,BROOKLYN,1335947.8333333333,
11231,2016,BROOKLYN,1426434.3333333333,
11231,2017,BROOKLYN,1441094.0,
11231,2018,BROOKLYN,1434799.8333333333,
11231,2019,BROOKLYN,1436682.5,
11231,2020,BROOKLYN,1434137.1666666667,
11231,2021,BROOKLYN,1411345.5,
11231,2022,BROOKLYN,1497689.7,
11232,2015,BROOKLYN,619938.5833333334,
11232,2016,BROOKLYN,686180.75,
11232,2017,BROOKLYN,735964.1666666666,
11232,2018,BROOKLYN,735566.5,
11232,2019,BROOKLYN,747990.5833333334,
11232,2020,BROOKLYN,716372.9166666666,
11232,2021,BROOKLYN,690353.3333333334,
11232,2022,BROOKLYN,720332.5,
11233,2015,BROOKLYN,610939.25,
11233,2016,BROOKLYN,662939.5833333334,
11233,2017,BROOKLYN,719472.75,
11233,2018,BROOKLYN,745286.75,
11233,2019,BROOKLYN,763895.1666666666,
11233,2020,BROOKLYN,776035.25,
11233,2021,BROOKLYN,846402.1666666666,
11233,2022,BROOKLYN,894202.6,
11234,2015,BROOKLYN,514781.5,
11234,2016,BROOKLYN,544249.9166666666,
11234,2017,BROOKLYN,576096.9166666666,
11234,2018,BROOKLYN,620462.25,
11234,2019,BROOKLYN,638208.0,
11234,2020,BROOKLYN,643976.0833333334,
11234,2021,BROOKLYN,678831.5833333334,
11234,2022,BROOKLYN,722477.0,
11235,2015,BROOKLYN,484378.3333333333,
11235,2016,BROOKLYN,497678.0833333333,
11235,2017,BROOKLYN,524481.1666666666,
11235,2018,BROOKLYN,576024.1666666666,
11235,2019,BROOKLYN,592481.4166666666,
11235,2020,BROOKLYN,590995.5,
11235,2021,BROOKLYN,621407.25,
11235,2022,BROOKLYN,655850.2,
11236,2015,BROOKLYN,407569.5833333333,
11236,2016,BROOKLYN,427454.9166666667,
11236,2017,BROOKLYN,461427.0833333333,
11236,2018,BROOKLYN,512585.4166666667,
11236,2019,BROOKLYN,540408.25,
11236,2020,BROOKLYN,563880.0,
11236,2021,BROOKLYN,597978.0833333334,
11236,2022,BROOKLYN,636843.2,
11237,2015,BROOKLYN,661371.0,
11237,2016,BROOKLYN,738264.25,
11237,2017,BROOKLYN,769363.0833333334,
11237,2018,BROOKLYN,789695.25,
11237,2019,BROOKLYN,794939.5833333334,
11237,2020,BROOKLYN,814787.5,
11237,2021,BROOKLYN,822998.1666666666,
11237,2022,BROOKLYN,892186.9,
11238,2015,BROOKLYN,1195940.4166666667,
11238,2016,BROOKLYN,1264259.75,
11238,2017,BROOKLYN,1232179.0,
11238,2018,BROOKLYN,1237717.0,
11238,2019,BROOKLYN,1269767.1666666667,
11238,2020,BROOKLYN,1186036.5833333333,
11238,2021,BROOKLYN,1132804.25,
11238,2022,BROOKLYN,1200487.2,
11239,2015,BROOKLYN,365536.8333333333,
11239,2016,BROOKLYN,406477.5,
11239,2017,BROOKLYN,421094.6666666667,
11239,2018,BROOKLYN,431576.3333333333,
11239,2019,BROOKLYN,495893.5,
11239,2020,BROOKLYN,538798.9166666666,
11239,2021,BROOKLYN,558402.5833333334,
11239,2022,BROOKLYN,574098.3,
11243,2015,BROOKLYN,1322019.8333333333,
11243,2016,BROOKLYN,1370269.9166666667,
11243,2017,BROOKLYN,1355473.5,
11243,2018,BROOKLYN,1405757.4166666667,
11243,2019,BROOKLYN,1382635.9166666667,
11243,2020,BROOKLYN,1373988.6666666667,
11243,2021,BROOKLYN,1366973.0,
11243,2022,BROOKLYN,1419300.3,
11249,2015,BROOKLYN,1166536.8333333333,
11249,2016,BROOKLYN,1227183.5,
11249,2017,BROOKLYN,1231871.9166666667,
11249,2018,BROOKLYN,1263473.25,
11249,2019,BROOKLYN,1302043.25,
11249,2020,BROOKLYN,1287187.0,
11249,2021,BROOKLYN,1316729.0833333333,
11249,2022,BROOKLYN,1417164.3,
